4.34148,0.0766211,0.00937318,0.000109463,7.3784e-006
6.33707,0.252267,0.0323886,0.00078066,0.000220445
7.12136,0.466787,0.0606374,0.00227866,0.00133425
7.42869,0.696565,0.0907622,0.0047022,0.00440967
7.54536,0.932212,0.121436,0.00808504,0.0106401
7.58304,1.16987,0.152122,0.0124356,0.0212278
7.58527,1.40781,0.182594,0.0177524,0.0373395
7.56905,1.64514,0.212746,0.0240306,0.060095
7.54106,1.88125,0.242519,0.0312642,0.0905655
7.50396,2.11566,0.271869,0.0394472,0.129773
7.45886,2.34791,0.300764,0.048574,0.178686
7.40626,2.57754,0.329172,0.05864,0.238217
7.34648,2.8041,0.357061,0.0696411,0.309213
7.27974,3.02714,0.384399,0.0815743,0.392452
7.20627,3.24619,0.411156,0.0944376,0.488634
7.12629,3.46079,0.437298,0.10823,0.598372
7.04007,3.67051,0.462793,0.122951,0.722189
6.94789,3.8749,0.487605,0.1386,0.860505
6.85005,4.07355,0.5117,0.15518,1.01364
6.74688,4.26606,0.535041,0.172691,1.18179
6.63872,4.45207,0.55759,0.191136,1.36506
6.52596,4.63124,0.579307,0.210515,1.56341
6.40899,4.80329,0.600152,0.230831,1.77669
6.28821,4.96795,0.620082,0.252084,2.00462
6.16404,5.12502,0.639054,0.274274,2.24682
6.03692,5.27434,0.657023,0.297399,2.50275
5.90729,5.41583,0.673941,0.321457,2.77178
5.77557,5.54942,0.689761,0.346441,3.05315
5.64221,5.67514,0.704434,0.372345,3.346
5.50762,5.79306,0.717909,0.399159,3.64937
5.37223,5.9033,0.730137,0.426867,3.96218
5.23642,6.00607,0.741064,0.455453,4.28329
5.10056,6.1016,0.75064,0.484895,4.61147
4.96499,6.19019,0.758813,0.515169,4.94543
4.83001,6.2722,0.765531,0.546243,5.28383
4.69589,6.34802,0.770744,0.578083,5.62527
4.56283,6.41809,0.774403,0.61065,5.96833
4.43101,6.48287,0.776461,0.643898,6.3116
4.30054,6.54286,0.77687,0.677777,6.65362
4.17149,6.59857,0.77559,0.712233,6.99299
4.04386,6.65053,0.77258,0.747205,7.32828
3.91759,6.69925,0.767803,0.782629,7.65815
3.79257,6.74525,0.761229,0.818435,7.98127
3.66864,6.78903,0.752828,0.85455,8.29639
3.54558,6.83106,0.742579,0.890894,8.60231
3.42312,6.87178,0.730463,0.927388,8.89794
3.30094,6.91158,0.716469,0.963946,9.18224
3.17869,6.95082,0.70059,1.00048,9.45431
3.056,6.98977,0.682825,1.03691,9.71332
2.93245,7.02869,0.663182,1.07313,9.95856
2.8076,7.06772,0.641671,1.10906,10.1894
2.68104,7.10699,0.618311,1.1446,10.4055
2.55233,7.14652,0.593126,1.17967,10.6062
2.42103,7.18628,0.566146,1.21417,10.7916
2.28675,7.22617,0.537407,1.24802,10.9613
2.14911,7.26603,0.50695,1.28113,11.1154
2.00775,7.30564,0.474822,1.31341,11.2539
1.86238,7.34474,0.441075,1.34479,11.3771
1.71274,7.38299,0.405762,1.37519,11.4853
1.55861,7.42004,0.368944,1.40453,11.5787
1.39985,7.45549,0.330683,1.43275,11.658
1.23637,7.48892,0.291044,1.45977,11.7236
1.06813,7.51989,0.250096,1.48555,11.7761
0.895173,7.54796,0.207907,1.51001,11.8163
0.71758,7.57267,0.164549,1.53312,11.8449
0.535502,7.59359,0.120093,1.55483,11.8626
0.349142,7.61027,0.0746112,1.57508,11.8702
0.158755,7.62232,0.0281764,1.59386,11.8685
-0.0353563,7.62935,-0.0191396,1.6111,11.8585
-0.232849,7.63101,-0.0672655,1.6268,11.8409
-0.433342,7.62697,-0.116131,1.64092,11.8165
-0.636424,7.61695,-0.165666,1.65345,11.7863
-0.841663,7.60071,-0.215804,1.66435,11.751
-1.0486,7.57806,-0.266478,1.67361,11.7114
-1.25678,7.54882,-0.317622,1.68122,11.6682
-1.46573,7.51288,-0.369173,1.68716,11.6221
-1.67497,7.47017,-0.42107,1.69144,11.5739
-1.88404,7.42065,-0.473252,1.69403,11.5242
-2.09248,7.36432,-0.525661,1.69493,11.4735
-2.29985,7.3012,-0.578239,1.69414,11.4224
-2.50572,7.23137,-0.630931,1.69166,11.3714
-2.70968,7.15492,-0.683683,1.68748,11.3208
-2.91134,7.07197,-0.73644,1.6816,11.2712
-3.11035,6.98266,-0.789151,1.67403,11.2228
